word,colour,Stimulus_condition,correct_response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Ins.started,text_2.started,Ins.stopped,trial.started,fixation.started,fixation.stopped,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Thanks.started,text_3.started,Thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.050645800307393074,0.08866820018738508,1.0016709002666175,,,,,,,,,,,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,red,C,r,0,0,0,0,1.0796574000269175,,,,,1.0394477001391351,1.0796574000269175,1.5008443002589047,1.5008443002589047,1.5008443002589047,2.32420020038262,r,1,0.7990120002068579,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,blue,I,b,0,1,1,1,2.346038700081408,,,,,2.3293619002215564,2.346038700081408,2.8338200002908707,2.8338200002908707,2.8338200002908707,3.482543300371617,b,1,0.6319667003117502,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,0,2,2,2,3.5297516002319753,,,,,3.484843200072646,3.5297516002319753,3.984067600220442,3.984067600220442,3.984067600220442,4.453943300060928,b,1,0.46668100031092763,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,0,3,3,3,4.479067500215024,,,,,4.456113700289279,4.479067500215024,4.9672064003534615,4.9672064003534615,4.9672064003534615,5.315368300303817,b,1,0.32583949994295835,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,red,C,r,1,0,4,0,5.345988400280476,,,,,5.3174884002655745,5.345988400280476,5.8184697004035115,5.8184697004035115,5.8184697004035115,6.336671500001103,r,1,0.5093871001154184,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,1,1,5,3,6.379866700153798,,,,,6.338806100189686,6.379866700153798,6.849962600041181,6.849962600041181,6.849962600041181,7.319461200386286,b,1,0.45199650013819337,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,blue,I,b,1,2,6,1,7.361623500008136,,,,,7.32176459999755,7.361623500008136,7.832871100399643,7.832871100399643,7.832871100399643,8.597272300161421,b,1,0.7524292999878526,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,1,3,7,2,8.62792790029198,,,,,8.59959420002997,8.62792790029198,9.099527700338513,9.099527700338513,9.099527700338513,10.003229700028896,b,1,0.8999657998792827,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,red,C,r,2,0,8,0,10.0448034000583,,,,,10.005491100251675,10.0448034000583,10.516103100031614,10.516103100031614,10.516103100031614,10.969187200069427,r,1,0.44952559983357787,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,2,1,9,2,11.01128390012309,,,,,10.971550100017339,11.01128390012309,11.482184800319374,11.482184800319374,11.482184800319374,11.937166900373995,b,1,0.4369466998614371,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,blue,I,b,2,2,10,1,11.961349599994719,,,,,11.939426600001752,11.961349599994719,12.449001600034535,12.449001600034535,12.449001600034535,13.118402600288391,b,1,0.66505610011518,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,2,3,11,3,13.144197100307792,,,,,13.120705100242049,13.144197100307792,13.632021200377494,13.632021200377494,13.632021200377494,13.98067170009017,b,1,0.32274820003658533,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
BLUE,blue,C,b,3,0,12,2,13.998591300100088,,,,,13.982913800049573,13.998591300100088,14.482090000063181,14.482090000063181,14.482090000063181,14.870861600153148,b,1,0.3776089996099472,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
RED,blue,I,b,3,1,13,1,14.91065050009638,,,,,14.873149800114334,14.91065050009638,15.384494800120592,15.384494800120592,15.384494800120592,15.668864600360394,b,1,0.2762398002669215,None,,,,711708,001,2024-08-23_11h25.57.494,StroopTask,2024.1.5,None,2024-08-23 11h26.05.343961 +0530,
