word	colour	Stimulus_condition	correct_response	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	Ins.started	text_2.started	Ins.stopped	trial.started	fixation.started	fixation.stopped	text.started	key_resp.started	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	Thanks.started	text_3.started	Thanks.stopped	participant	session	date	expName	psychopyVersion	frameRate	expStart
										0.0135498	0.0421684	1.0146209														801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
RED	blue	I	b	0	0	0	1	1.0749925					1.0459927	1.0749925	1.5139646	1.5139646	1.5139646	2.208246	b	1	0.6677467	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
BLUE	blue	C	b	0	1	1	2	2.2417451					2.2139802	2.2417451	2.7132578	2.7132578	2.7132578	3.1113787	b	1	0.3722935	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
RED	red	C	r	0	2	2	0	3.1421677					3.1135876	3.1421677	3.6134041	3.6134041	3.6134041	4.2171853	r	1	0.5968946	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
BLUE	blue	C	b	0	3	3	3	4.260428					4.2193418	4.260428	4.7299268	4.7299268	4.7299268	5.1995133	b	1	0.4653253	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
BLUE	blue	C	b	1	0	4	2	5.2247838					5.2017724	5.2247838	5.7127122	5.7127122	5.7127122	6.0322108	b	1	0.3058427	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
RED	blue	I	b	1	1	5	1	6.0581742					6.0344137	6.0581742	6.5462695	6.5462695	6.5462695	6.9156455	b	1	0.3660088	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
RED	red	C	r	1	2	6	0	6.9408165					6.9178506	6.9408165	7.428993	7.428993	7.428993	7.9942916	r	1	0.5391522	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
BLUE	blue	C	b	1	3	7	3	8.0240569					7.9965486	8.0240569	8.4952397	8.4952397	8.4952397	8.8317779	b	1	0.3240078	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
BLUE	blue	C	b	2	0	8	2	8.857282					8.8341759	8.857282	9.3412015	9.3412015	9.3412015	9.660227	b	1	0.2897056	None				801620	1	2024-08-23_12h19.23.058	StroopTask	2024.1.5	None	2024-08-23 12h19.32.425785 +0530
