stair.thisTrialN	tilt	key_resp.corr								
0	10	1								
1	-8	0								
2	-9	1								
3	-9	1								
4	9	1			Tilt	-1	1	-2	2.5	2
5	8	1			Absolute threshold	0.5				
6	8	1			Accuracy	87%				
7	8	1								
8	7	1								
9	-7	1								
10	7	1								
11	6	1								
12	6	1								
13	-6	1								
14	-5	1								
15	-5	1								
16	-5	1								
17	-4	1								
18	4	1								
19	-4	1								
20	3	1								
21	3	1								
22	-3	1								
23	-2	1								
24	2	1								
25	-2	0								
26	2.5	1								
27	2.5	0								
28	-3	1								
29	-3	1								
30	-3	1								
31	-2.5	1								
32	2.5	1								
33	-2.5	0								
34	3	1								
35	-3	1								
36	3	1				2.5				
37	-2.5	1				2				
38	-2.5	1								
39	2.5	1								
40	-2	1								
41	-2	0								
42	-2.5	1								
43	-2.5	1								
44	2.5	1								
45	-2	1								
46	-2	0								
47	-2.5	1								
48	2.5	1								
49	-2.5	1								
50	-2	1								
51	2	0								
52	-2.5	0								
53	3	1								
54	3	1								
55	-3	1								
56	2.5	1								
57	2.5	1								
58	-2.5	1								
59	2	1								
60	2	1								
61	-2	1								
62	-1.5	1								
63	1.5	1								
64	1.5	1								
65	-1	1								
66	1	1								
67	-1	0								
68	-1.5	1								
69	-1.5	1								
70	1.5	1								
71	-1	1								
72	1	1								
73	1	1								
74	1	1								
75	-1	1								
76	-1	1								
77	1	1								
78	-1	1								
79	-1	1								
80	1	1								
81	-1	1								
82	1	0								
83	1.5	0								
84	2	1								
85	-2	1								
86	-2	0								
87	-2.5	1								
88	-2.5	1								
89	2.5	1								
90	-2	1								
91	2	1								
92	2	1								
93	-1.5	1								
94	1.5	1								
95	1.5	0								
96	-2	1								
97	2	1								
98	-2	1								
99	1.5	1								
