stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.08490349998464808,,0.0520498999976553,0.08490349998464808,0.6992479999898933,0.6992479999898933,0.7144802999973763,1.0129780999850482,1.7954890999826603,left,-10.0,1,1,0.8178973000030965,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
1,2,8.0,1.8264427999965847,,1.7959225999948103,1.8264427999965847,2.2958924999984447,2.2958924999984447,2.3293893999943975,2.5954879999917466,2.699841900001047,right,8.0,1,1,0.39397779997671023,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
2,2,6.0,2.726379799976712,,2.7000693999871146,2.726379799976712,3.212574599980144,3.212574599980144,3.22891759997583,3.512793599977158,3.867120299983071,left,-6.0,1,1,0.6506167000043206,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
3,2,4.0,3.892714399989927,,3.8673749000008684,3.892714399989927,4.37896059997729,4.37896059997729,4.395450599986361,4.6796333999955095,4.915425299986964,left,-4.0,1,1,0.5196514999843203,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
4,1,2.0,4.943315299984533,,4.915704499988351,4.943315299984533,5.428674999973737,5.428674999973737,5.446011799998814,5.728776099975221,5.83313799998723,right,2.0,0,0,0.4003192000091076,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
5,1,3.0,5.859734999976354,,5.8334143999964,5.859734999976354,6.347003099974245,6.347003099974245,6.3620867999852635,6.663299499981804,7.048577399982605,right,3.0,1,1,0.6841834000078961,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
6,1,3.0,7.077693399973214,,7.0488306999905035,7.077693399973214,7.562436299980618,7.562436299980618,7.5789472999749705,7.862398999975994,8.033401199994842,right,3.0,1,1,0.46187229998758994,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
7,1,3.0,8.059788499987917,,8.033649599994533,8.059788499987917,8.545120599999791,8.545120599999791,8.562076199974399,8.845553999999538,8.931387799995719,right,3.0,1,1,0.37312040000688285,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
8,1,2.0,8.958876399992732,,8.931657199980691,8.958876399992732,9.44506579998415,9.44506579998415,9.462046199972974,9.744871599978069,9.864611500001047,right,2.0,1,1,0.4029473999980837,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
9,1,2.0,9.892555899976287,,9.86489050000091,9.892555899976287,10.377503499999875,10.377503499999875,10.394331499992404,10.678350999980466,10.815719599981094,right,2.0,1,1,0.42528550000861287,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
10,1,2.0,10.842449099989608,,10.815981399995508,10.842449099989608,11.328058299986878,11.328058299986878,11.344504199980292,11.628040699986741,11.947137399984058,left,-2.0,1,1,0.6088159999926575,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
11,1,1.0,11.975556599994889,,11.947440999996616,11.975556599994889,12.461450799979502,12.461450799979502,12.477637799980585,12.761476099985885,12.980618499976117,left,-1.0,1,1,0.5016895000007935,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
12,1,1.0,12.99413479998475,,12.980929099983769,12.99413479998475,13.494056499999715,13.494056499999715,13.494056499999715,13.794117599987658,14.198182699998142,left,-1.0,1,1,0.6996736000000965,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
13,1,1.0,14.224643699999433,,14.198434399993857,14.224643699999433,14.71042769998894,14.71042769998894,14.727249099989422,15.011271700001089,15.164550699992105,right,1.0,1,1,0.44859690000885166,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
14,0.5,1.0,15.19197179999901,,15.164809599984437,15.19197179999901,15.676816399995005,15.676816399995005,15.694023399992147,15.976970699994126,16.046772599976975,left,-1.0,0,0,0.35690129999420606,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
15,0.5,1.5,16.06099849997554,,16.047063299978618,16.06099849997554,16.55999169999268,16.55999169999268,16.55999169999268,16.859878599992953,17.130354299995815,right,1.5,1,1,0.5573475999990478,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
16,0.5,1.5,17.157587099995,,17.13067869999213,17.157587099995,17.64280349999899,17.64280349999899,17.660306399979163,17.942684799985727,18.246346499974607,left,-1.5,0,0,0.5972419000172522,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
17,0.5,2.0,18.25959889998194,,18.24657589997514,18.25959889998194,18.759843799984083,18.759843799984083,18.759843799984083,19.05995249998523,19.64614449997316,left,-2.0,1,1,0.8721688000077847,740568,001,2024-09-05_15h34.24.026,AdaptiveStaircase_session3,2024.1.5,None,2024-09-05 15h34.32.925589 +0530,
