trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05203000002074987,,0.019360500009497628,0.05203000002074987,1.066799300024286,1.0790198000031523,8.01610609999625,down,0,6.934800500021083,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
1,0,1,0,8.027925700007472,,8.018660800007638,8.027925700007472,9.027807400008896,9.027807400008896,10.312612300011097,down,1,1.274825200001942,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
2,0,2,0,10.327554200019222,,10.31490890000714,10.327554200019222,11.327554300019983,11.327554300019983,12.511759700020775,down,0,1.1683256000105757,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
3,0,3,0,12.52740150000318,,12.51339820001158,12.52740150000318,13.52724809999927,13.52724809999927,14.878289800020866,down,0,1.334493400005158,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
4,0,4,0,14.893726100010099,,14.879962200007867,14.893726100010099,15.893650300014997,15.893650300014997,17.011222600005567,down,1,1.1115787999879103,None,-4,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
5,0,5,0,17.026776100014104,,17.013380600023083,17.026776100014104,18.026861300022574,18.026861300022574,18.844960000016727,down,1,0.8013241000007838,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
6,0,6,0,18.859893500019098,,18.847150300018257,18.859893500019098,19.860553000005893,19.860553000005893,20.677586300007533,up,1,0.8016400999913458,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
7,0,7,0,20.693814600002952,,20.679901499999687,20.693814600002952,21.693180900008883,21.693180900008883,22.39445479999995,down,1,0.6856725000252482,None,1,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
8,0,8,0,22.409416700014845,,22.396889499999816,22.409416700014845,23.410146800015355,23.410146800015355,24.044126699998742,down,0,0.6284905000065919,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
9,0,9,0,24.060638599999947,,24.04647530001239,24.060638599999947,25.059209200000623,25.077021000004606,25.99352600000566,down,0,0.9224632999976166,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
10,0,10,0,26.008859299996402,,25.995374599995557,26.008859299996402,27.009288100001868,27.009288100001868,28.09327330000815,down,1,1.0715309000224806,None,-3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
11,0,11,0,28.10876930001541,,28.095726400002604,28.10876930001541,29.108839200023795,29.108839200023795,30.180759700015187,up,1,1.0561358999984805,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
12,0,12,0,30.208922699996037,,30.186942400003318,30.208922699996037,31.194229900022037,31.211544799996773,31.81419060000917,up,1,0.607961300003808,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
13,0,13,0,31.844238500023494,,31.822005699999863,31.844238500023494,32.82718770002248,32.844618200004334,33.7163378999976,down,1,0.8846469999989495,None,3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
14,0,14,0,33.74173360000714,,33.726542700023856,33.74173360000714,34.74203029999626,34.76073820001329,36.03271329999552,down,0,1.2867805999994744,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
15,0,15,0,36.075112100021215,,36.046950700023444,36.075112100021215,37.04371230001561,37.076721300021745,37.698610699997516,up,1,0.6507695999753196,None,0,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
16,0,16,0,37.725831700023264,,37.70621440000832,37.725831700023264,38.72426540000015,38.74335649999557,39.416588000021875,down,1,0.6729461999784689,None,3,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
17,0,17,0,39.458462700014934,,39.43329330001143,39.458462700014934,40.46043629999622,40.46043629999622,41.150394700001925,up,0,0.6845067999965977,None,-5,555686,001,2024-09-13_13h25.58.197,Signal_Detection,2024.1.5,None,2024-09-13 13h26.04.975757 +0530,
