trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.16234859998803586,,0.02428369998233393,10,0.16234859998803586,0.16234859998803586,0.12845089996699244,2.900411000009626,[-0.4766666666666667],[-0.3333333333333333],[1],[0],[0],[2.7708593000425026],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
1,0,1,0,3.1475183999864385,,2.9249754999764264,10,3.1475183999864385,3.1475183999864385,0.15682399994693696,5.416888499981724,[0.325],[-0.43833333333333335],[1],[0],[0],[2.3370910999947228],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
2,0,2,0,5.545338199997786,,5.434221100003924,5,5.545338199997786,5.545338199997786,0.07727139996131882,7.31668659998104,[0.06166666666666667],[0.19333333333333333],[1],[0],[0],[1.80889450001996],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
3,0,3,0,7.447495399974287,,7.333087500010151,5,7.447495399974287,7.447495399974287,0.07721630000742152,8.88468760001706,[0.21],[0.3416666666666667],[1],[0],[0],[1.4779048999771476],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
4,0,4,0,9.112288200005423,,8.900675499986392,10,9.112288200005423,9.112288200005423,0.14773969998350367,11.57960350002395,[-0.05333333333333334],[0.4766666666666667],[1],[0],[0],[2.533774200011976],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
5,0,5,0,11.677607399993576,,11.586832200002391,10,11.677607399993576,11.677607399993576,0.06387799995718524,13.480382299982011,[0.08833333333333333],[-0.27],[1],[0],[0],[1.8305233000428416],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
6,0,6,0,13.57748099998571,,13.487601900007576,10,13.57748099998571,13.57748099998571,0.06495259999064729,15.266367100004572,[-0.15666666666666668],[0.245],[1],[0],[0],[1.7141538999858312],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
7,0,7,0,15.495750400004908,,15.28389119997155,10,15.495750400004908,15.495750400004908,0.15082239999901503,17.245634499995504,[0.3883333333333333],[-0.155],[1],[0],[0],[1.814888399967458],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
8,0,8,0,17.310177100007422,,17.25315830000909,5,17.310177100007422,17.310177100007422,0.03831380000337958,19.23219299997436,[-0.22166666666666668],[-0.3933333333333333],[1],[0],[0],[1.9410460999934003],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
9,0,9,0,19.462679599993862,,19.250018000020646,10,19.462679599993862,19.462679599993862,0.15140989999054,20.82943250000244,[0.04833333333333333],[-0.40166666666666667],[1],[0],[0],[1.4341226000105962],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
10,0,10,0,20.90966240002308,,20.836839199997485,5,20.90966240002308,20.90966240002308,0.040030899981502444,22.92934819997754,[0.38166666666666665],[0.355],[1],[0],[0],[2.053737699985504],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
11,0,11,0,23.059742100012954,,22.938133999996353,10,23.059742100012954,23.059742100012954,0.08740099996794015,24.733442900003865,[0.20166666666666666],[-0.19333333333333333],[1],[0],[0],[1.7084138999925926],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
12,0,12,0,24.909129299980123,,24.751383599999826,10,24.909129299980123,24.909129299980123,0.13954290002584457,26.564316499978304,[0.25166666666666665],[-0.005],[1],[0],[0],[1.6767735999892466],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
13,0,13,0,26.776639399991836,,26.582526299986057,10,26.776639399991836,26.776639399991836,0.14642589999129996,28.181491399998777,[-0.18],[-0.105],[1],[0],[0],[1.4561896999948658],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
14,0,14,0,28.326931899995543,,28.20395739999367,5,28.326931899995543,28.326931899995543,0.0774171999655664,30.04761830001371,[0.2683333333333333],[0.305],[1],[0],[0],[1.7684174999594688],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
15,0,15,0,30.194182500010356,,30.07066389999818,5,30.194182500010356,30.194182500010356,0.08527040004264563,31.61325290001696,[-0.195],[0.46166666666666667],[1],[0],[0],[1.4651026999927126],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
16,0,16,0,31.843410299974494,,31.63104419998126,10,31.843410299974494,31.843410299974494,0.15179340000031516,33.67958009999711,[0.3516666666666667],[0.36833333333333335],[1],[0],[0],[1.9017065999796614],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
17,0,17,0,33.84112739999546,,33.69601920002606,10,33.84112739999546,33.84112739999546,0.1273221999872476,35.44495919998735,[0.185],[0.38166666666666665],[1],[0],[0],[1.6253676999476738],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
18,0,18,0,35.5586737000267,,35.46309109998401,5,35.5586737000267,35.5586737000267,0.061610099975951016,36.995975699974224,[-0.05333333333333334],[0.3466666666666667],[1],[0],[0],[1.4725938999908976],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
19,0,19,0,37.190715899982024,,37.014502300007734,10,37.190715899982024,37.190715899982024,0.14160510001238436,38.52616730000591,[-0.12166666666666667],[0.065],[1],[0],[0],[1.3744528000243008],['target'],650536,001,2024-10-08_15h24.52.350,Session5_VisualSearch,2024.1.5,None,2024-10-08 15h25.01.999799 +0530,
