trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	num_distr	Fixation.started	target.started	mouse.started	trial.stopped	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
0	0	0	0	0.2405661		0.0787	5	0.2405661	0.2405661	0.1987271	11.5854582	[0.1]	[-0.35833333333333334]	[1]	[0]	[0]	[11.385243799999444]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
1	0	1	0	11.6995779		11.6063042	5	11.6995779	11.6995779	0.0569431	13.0867063	[-0.18]	[0.09166666666666666]	[1]	[0]	[0]	[1.4256902000015543]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
2	0	2	0	13.2657574		13.1035144	10	13.2657574	13.2657574	0.1225646	14.9217904	[0.3416666666666667]	[-0.175]	[1]	[0]	[0]	[1.7001654000014241]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
3	0	3	0	15.050528		14.939926	5	15.050528	15.050528	0.0701849	16.3884158	[-0.445]	[0.0016666666666666668]	[1]	[0]	[0]	[1.3799743999989005]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
4	0	4	0	16.5182839		16.4038674	5	16.5182839	16.5182839	0.074887	17.5695296	[-0.13333333333333333]	[0.06666666666666667]	[1]	[0]	[0]	[1.0934616000013193]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
5	0	5	0	17.6996552		17.5864014	5	17.6996552	17.6996552	0.0779933	19.2524298	[-0.14666666666666667]	[-0.32666666666666666]	[1]	[0]	[0]	[1.593478499999037]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
6	0	6	0	19.4667		19.2682967	10	19.4667	19.4667	0.1427113	21.7185428	[0.45166666666666666]	[-0.045]	[1]	[0]	[0]	[2.310692900002323]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
7	0	7	0	21.8309427		21.7364531	5	21.8309427	21.8309427	0.0752006	23.4170535	[-0.22166666666666668]	[0.485]	[1]	[0]	[0]	[1.6113465000016731]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
8	0	8	0	23.531167		23.4238927	10	23.531167	23.531167	0.0724135	25.4323926	[-0.2683333333333333]	[-0.17166666666666666]	[1]	[0]	[0]	[1.9367940999982238]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
9	0	9	0	25.4969905		25.4388163	5	25.4969905	25.4969905	0.0346028	27.5704735	[0.36666666666666664]	[0.043333333333333335]	[1]	[0]	[0]	[2.097223100001429]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
10	0	10	0	27.7474696		27.5905508	10	27.7474696	27.7474696	0.1154193	29.2201613	[-0.3433333333333333]	[0.2833333333333333]	[1]	[0]	[0]	[1.516152600001078]	[]	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
11	0	11	0	29.3652088		29.2383817	5	29.3652088	29.3652088	0.0763756	30.5745885	[-0.315]	[-0.025]	[1]	[0]	[0]	[1.2616756999996142]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
12	0	12	0	30.7304421		30.5975587	5	30.7304421	30.7304421	0.0931906	32.901109	[0.15833333333333333]	[0.42333333333333334]	[1]	[0]	[0]	[2.2140048000001116]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
13	0	13	0	33.030885		32.917723	5	33.030885	33.030885	0.0740233	35.5501541	[0.34833333333333333]	[0.4716666666666667]	[1]	[0]	[0]	[2.5625378000004275]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
14	0	14	0	35.6975595		35.5686338	5	35.6975595	35.6975595	0.0849417	37.1485842	[0.405]	[0.4666666666666667]	[1]	[0]	[0]	[1.4975096999987727]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
15	0	15	0	37.2297631		37.1573564	5	37.2297631	37.2297631	0.0493231	38.4990666	[-0.03]	[0.4]	[1]	[0]	[0]	[1.2936979000005522]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
16	0	16	0	38.5960309		38.5076642	5	38.5960309	38.5960309	0.048475	39.9661327	[-0.355]	[-0.09666666666666666]	[1]	[0]	[0]	[1.4107580999989295]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
17	0	17	0	40.0963963		39.9837348	5	40.0963963	40.0963963	0.0753402	42.0990518	[0.33]	[0.32166666666666666]	[1]	[0]	[0]	[2.0440529999978025]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
18	0	18	0	42.2117332		42.1058298	10	42.2117332	42.2117332	0.0741088	43.8300733	[-0.285]	[0.175]	[1]	[0]	[0]	[1.6510405000008177]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
19	0	19	0	43.9449056		43.8369904	10	43.9449056	43.9449056	0.0719803	45.217758	[-0.07833333333333334]	[-0.125]	[1]	[0]	[0]	[1.3090464000015345]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
20	0	20	0	45.4109214		45.2336299	10	45.4109214	45.4109214	0.1441208	47.3017255	[-0.4766666666666667]	[0.20166666666666666]	[1]	[0]	[0]	[1.9282063999999082]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
21	0	21	0	47.4445484		47.3174417	10	47.4445484	47.4445484	0.1016033	48.9803326	[0.07]	[-0.165]	[1]	[0]	[0]	[1.5634022999984154]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
22	0	22	0	49.0616037		48.9907179	5	49.0616037	49.0616037	0.0470743	50.4150469	[0.2866666666666667]	[-0.06333333333333334]	[1]	[0]	[0]	[1.378237299999455]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
23	0	23	0	50.5109521		50.4308395	5	50.5109521	50.5109521	0.0563679	52.4346145	[-0.23166666666666666]	[0.355]	[1]	[0]	[0]	[1.9510728999994171]	['target']	643016	1	2024-10-04_11h28.18.327	Session5_VisualSearch	2024.1.5	None	2024-10-04 11h28.24.659862 +0530
