pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.13748079992365092,,0.09821769990958273,0.13748079992365092,1.0262095999205485,1.0262095999205485,1.0262095999205485,1.0262095999205485,1.1599714999319986,2.043047899962403,2.043047899962403,2.923598299967125,x,1,0.8593806000426412,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,0,1,1,1,,,,,2.959663199959323,,2.9318681999575347,2.959663199959323,3.959798499941826,3.959798499941826,3.959798499941826,3.959798499941826,3.992858299985528,4.959652799996547,4.959652799996547,5.562923099962063,v,1,0.5735325000714511,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,0,2,2,2,,,,,5.592562099918723,,5.566415100009181,5.592562099918723,6.592747799935751,6.592747799935751,6.592747799935751,6.592747799935751,6.6254595000064,7.592523999977857,7.592523999977857,8.295502699911594,c,1,0.6757437000051141,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,0,3,3,3,,,,,8.325267400010489,,8.299400199903175,8.325267400010489,9.325125799980015,9.325125799980015,9.325125799980015,9.325125799980015,9.358105599996634,10.324614099925384,10.324614099925384,10.694589499966241,z,1,0.35454119998030365,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,1,0,4,0,,,,,10.725616100011393,,10.699268199969083,10.725616100011393,11.724655799916945,11.724655799916945,11.724655799916945,11.724655799916945,11.757948899990879,12.724766399944201,12.724766399944201,13.06233310000971,x,1,0.3219669999089092,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,1,1,5,1,,,,,13.091271099983715,,13.068470599944703,13.091271099983715,14.090824599959888,14.090824599959888,14.090824599959888,14.090824599959888,14.124017199967057,15.090706399991177,15.090706399991177,15.494199199951254,v,1,0.3760469000553712,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
50,c,1,2,6,2,,,,,15.524002999998629,,15.498091799905524,15.524002999998629,16.523735799943097,16.523735799943097,16.523735799943097,16.523735799943097,16.557112799957395,17.523724299971946,17.523724299971946,17.827213099924847,c,1,0.28188839997164905,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-150,z,1,3,7,3,,,,,17.861705799936317,,17.831067799939774,17.861705799936317,18.857114299898967,18.857114299898967,18.857114299898967,18.857114299898967,18.890429299906828,19.857883999939077,19.857883999939077,20.526557800010778,z,1,0.6472912000026554,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
-50,x,2,0,8,0,,,,,20.5570995999733,,20.530405499972403,20.5570995999733,21.557530399993993,21.557530399993993,21.557530399993993,21.557530399993993,21.590079099987634,22.557147999992594,22.557147999992594,23.54292619996704,x,1,0.9761025999905542,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
150,v,2,1,9,1,,,,,23.573412999976426,,23.546696199919097,23.573412999976426,24.573381099966355,24.573381099966355,24.573381099966355,24.573381099966355,24.606329899979755,25.5733299999265,25.5733299999265,25.87605349998921,v,1,0.28757200005929917,None,589830,001,2024-10-15_11h18.00.426,Session6_MotorSequenceLearning,2024.1.5,None,2024-10-15 11h18.06.440869 +0530,
