study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
book,,,,0,0,0,0,,,,,0.15330820000963286,,0.031176300020888448,0.15330820000963286,0.15330820000963286,2.4725371000240557,1.0555555555555556,2.384312799957115,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
laptop,,,,0,1,1,5,,,,,2.558356299996376,,2.4742680999916047,2.558356299996376,2.558356299996376,3.2280934000154957,1.0555555555555556,0.6756889999960549,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
mouse,,,,0,2,2,8,,,,,3.31080400000792,,3.2289815000258386,3.31080400000792,3.31080400000792,4.400673700030893,2.051851851851852,1.1176210999838077,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
keys,,,,0,3,3,13,,,,,4.432505599979777,,4.4010809999890625,4.432505599979777,4.432505599979777,5.7603322000359185,1.0222222222222221,1.3272697000065818,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
marble,,,,0,4,4,3,,,,,5.792620100022759,,5.760791299981065,5.792620100022759,5.792620100022759,6.887205799983349,1.9407407407407407,1.082554100023117,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
police,,,,0,5,5,12,,,,,6.930626899993513,,6.888233800011221,6.930626899993513,6.930626899993513,8.118035399995279,1.037037037037037,1.194428400020115,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
phone,,,,0,6,6,2,,,,,8.146632499992847,,8.118437500030268,8.146632499992847,8.146632499992847,8.843299600004684,1.037037037037037,0.6817257999791764,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
case,,,,0,7,7,10,,,,,8.882553100003861,,8.84409249998862,8.882553100003861,8.882553100003861,9.970058800012339,2.0555555555555554,1.0766099000466056,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
T-shirt,,,,0,8,8,7,,,,,10.020378299988806,,9.970778300019447,10.020378299988806,10.020378299988806,10.743984500004444,2.0555555555555554,0.7092226999811828,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
pastry,,,,0,9,9,9,,,,,10.79555540002184,,10.74457690003328,10.79555540002184,10.79555540002184,12.290807400015183,1,1.5013582999818027,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
board,,,,0,10,10,4,,,,,12.328362000000197,,12.291343500022776,12.328362000000197,12.328362000000197,13.000588099996094,1,0.6656023999676108,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
cushion,,,,0,11,11,1,,,,,13.051020200015046,,13.001476300007198,13.051020200015046,13.051020200015046,13.692760800011456,1,0.6251557000214234,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
poster,,,,0,12,12,14,,,,,13.774258900026325,,13.694232799985912,13.774258900026325,13.774258900026325,14.830666700028814,2.1703703703703705,1.0662107999669388,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
cruise,,,,0,13,13,11,,,,,14.880766300018877,,14.832026100018993,14.880766300018877,14.880766300018877,16.389907000004314,2.659259259259259,1.503156399994623,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
chart,,,,0,14,14,6,,,,,16.435041400021873,,16.39066350000212,16.435041400021873,16.435041400021873,17.544403399981093,2.0555555555555554,1.1087372999754734,,,,,,,,,,,,,,,07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,V_s_,Vase,new,,,,,0,0,0,17,17.612769300001673,,,,,,,,17.560807900037616,17.612769300001673,17.612769300001673,17.612769300001673,0.025105000007897615,21.754529700032435,vase,[-0.08425925925925926],[-0.31666666666666665],[1],[0],[0],[4.183711600024253],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_oo_,Book,old ,,,,,0,1,1,13,21.783508100023028,,,,,,,,21.75737529998878,21.783508100023028,21.783508100023028,21.783508100023028,0.006134199968073517,25.716231400030665,book,[-0.08518518518518518],[-0.30833333333333335],[1],[0],[0],[3.952240999962669],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,K_y_,Keys,old ,,,,,0,2,2,8,25.746721100003924,,,,,,,,25.718061999999918,25.746721100003924,25.746721100003924,25.746721100003924,0.008848700032103807,28.51657440001145,keys,[-0.08518518518518518],[-0.30833333333333335],[1],[0],[0],[2.7887286999612115],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,Ta_l_,Table,new,,,,,0,3,3,15,28.561024800001178,,,,,,,,28.51917510002386,28.561024800001178,28.561024800001178,28.561024800001178,0.009568399982526898,32.11234759999206,table,[-0.09722222222222222],[-0.29907407407407405],[1],[0],[0],[3.582612900005188],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,T_hi_t,Tshirt,old ,,,,,0,4,4,2,32.14441860001534,,,,,,,,32.11410040000919,32.14441860001534,32.14441860001534,32.14441860001534,0.007569900015369058,36.26769160002004,tshirt,[-0.05277777777777778],[-0.3074074074074074],[1],[0],[0],[4.144972599984612],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,l_pt_p,Laptop,old ,,,,,0,5,5,0,36.31814029999077,,,,,,,,36.27137050003512,36.31814029999077,36.31814029999077,36.31814029999077,0.011506000009831041,39.77716150000924,laptop,[0.05462962962962963],[-0.29444444444444445],[1],[0],[0],[3.493247299978975],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,Bo_t_le,Bottle,new,,,,,0,6,6,18,39.825773900025524,,,,,,,,39.779913900012616,39.825773900025524,39.825773900025524,39.825773900025524,0.01662660000147298,45.35297000000719,bo,[0.05462962962962963],[-0.29444444444444445],[1],[0],[0],[5.555659600009676],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,c_s_io_,Cushion,old ,,,,,0,7,7,14,45.398458699986804,,,,,,,,45.356256300001405,45.398458699986804,45.398458699986804,45.398458699986804,0.012500800017733127,49.67020779999439,cushion,[0.05462962962962963],[-0.29444444444444445],[1],[0],[0],[4.30022849998204],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,P_li_e,Police,old ,,,,,0,8,8,7,49.7419103999855,,,,,,,,49.67577610001899,49.7419103999855,49.7419103999855,49.7419103999855,0.02316670003347099,53.60651300003519,police,[0.05462962962962963],[-0.29444444444444445],[1],[0],[0],[3.9075376999680884],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,c_s_,Case,old ,,,,,0,9,9,5,53.63043329998618,,,,,,,,53.60797290003393,53.63043329998618,53.63043329998618,53.63043329998618,0.005135999992489815,57.245775300019886,case,[0.05462962962962963],[-0.29444444444444445],[1],[0],[0],[3.6317175999865867],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_a_bl_,Marble,old ,,,,,0,10,10,11,57.27680729998974,,,,,,,,57.24747020000359,57.27680729998974,57.27680729998974,57.27680729998974,0.006788099999539554,63.02336370002013,marble,[0.07037037037037037],[-0.2953703703703704],[1],[0],[0],[5.768303799966816],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_ho_e,Phone,old ,,,,,0,11,11,12,63.05667740001809,,,,,,,,63.02581580000697,63.05667740001809,63.05667740001809,63.05667740001809,0.007373100030235946,67.07746150001185,phone,[0.08518518518518518],[-0.2953703703703704],[1],[0],[0],[4.043868399981875],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_ru_s_,Cruise,old ,,,,,0,12,12,6,67.11708669998916,,,,,,,,67.07963910000399,67.11708669998916,67.11708669998916,67.11708669998916,0.009149200050160289,70.48796529998071,cruise,[0.08518518518518518],[-0.2953703703703704],[1],[0],[0],[3.3985542000154965],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,C_m_ra,Camera,new,,,,,0,13,13,19,70.51840599998832,,,,,,,,70.48957740003243,70.51840599998832,70.51840599998832,70.51840599998832,0.009008900029584765,80.50803030002862,,[],[],[],[],[],[],[],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,P_as_tr_,Pastry,old ,,,,,0,14,14,4,80.54247550002765,,,,,,,,80.50992650003172,80.54247550002765,80.54247550002765,80.54247550002765,0.029191500041633844,84.48420150001766,pastry,[0.08055555555555556],[-0.30092592592592593],[1],[0],[0],[3.964066799962893],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_ou_se,Mouse,old ,,,,,0,15,15,3,84.52564390003681,,,,,,,,84.48805500002345,84.52564390003681,84.52564390003681,84.52564390003681,0.009153499966487288,88.58570689999033,mouse,[0.05],[-0.30185185185185187],[1],[0],[0],[4.087887200003024],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_ha_t,Chart,old ,,,,,0,16,16,1,88.61494549998315,,,,,,,,88.58747010002844,88.61494549998315,88.61494549998315,88.61494549998315,0.006469300016760826,92.42884790000971,chart,[0.08425925925925926],[-0.29907407407407405],[1],[0],[0],[3.8337984000099823],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,P_st_r,Poster,old ,,,,,0,17,17,9,92.47309680003673,,,,,,,,92.43170940002892,92.47309680003673,92.47309680003673,92.47309680003673,0.01038309995783493,95.81179100001464,pastry,[0.08425925925925926],[-0.29907407407407405],[1],[0],[0],[3.3687174000078812],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,_o_rd,Board,old ,,,,,0,18,18,10,95.85445580002852,,,,,,,,95.81451280001784,95.85445580002852,95.85445580002852,95.85445580002852,0.009951699990779161,99.24560720002046,board,[0.08425925925925926],[-0.29907407407407405],[1],[0],[0],[3.419245700002648],['text_3'],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
,p_nc_l,Pencil,new,,,,,0,19,19,16,99.30833909998182,,,,,,,,99.25090739998268,99.30833909998182,99.30833909998182,99.30833909998182,0.016357399988919497,109.25180259998888,,[],[],[],[],[],[],[],07,001,2024-10-29_21h13.35.157,Session7_WordPriming,2024.1.5,None,2024-10-29 21h13.48.147580 +0530,
