Words,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,WordDisplay.started,text.started,WordDisplay.stopped,text.stopped,trial.stopped,Recall.started,text_2.started,textbox.started,text_3.started,mouse.started,Recall.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Candle,0,0,0,0,,,,,0.04707980004604906,,0.03174810006748885,0.04707980004604906,2.0051662999903783,2.0552546000108123,3.507524500018917,3.4900811000261456,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Chair,0,1,1,1,,,,,3.507524500018917,,3.490953900036402,3.507524500018917,5.50535089999903,5.521565700066276,7.017568100010976,6.9905662999954075,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Guitar,0,2,2,2,,,,,7.017568100010976,,6.991545199998654,7.017568100010976,9.004513600026257,9.021161700016819,10.507918399991468,10.489316800027154,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
River,0,3,3,3,,,,,10.507918399991468,,10.49022649996914,10.507918399991468,12.504618000006303,12.521290400065482,14.013430600054562,13.98912130005192,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Ballon,0,4,4,4,,,,,14.013430600054562,,13.990005400031805,14.013430600054562,16.004333200049587,16.02095390006434,17.516910700011067,17.489132300019264,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Jacket,0,5,5,5,,,,,17.516910700011067,,17.490139200002886,17.516910700011067,19.503923800075427,19.5203940999927,21.01164120004978,20.988067600061186,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Apple,0,6,6,6,,,,,21.01164120004978,,20.98897940001916,21.01164120004978,23.003180400002748,23.019858799991198,24.513658500043675,24.487701400066726,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Mountain,0,7,7,7,,,,,24.513658500043675,,24.48855780006852,24.513658500043675,26.502798400004394,26.51938880002126,28.015295800054446,27.987653300049715,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Flower,0,8,8,8,,,,,28.015295800054446,,27.988707500044256,28.015295800054446,30.00240420002956,30.01896030001808,31.513400200055912,31.487103300052695,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Sofa,0,9,9,9,,,,,31.513400200055912,,31.488128200056963,31.513400200055912,33.501971399993636,33.518385000061244,35.013750400044955,34.98628670000471,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Dog,0,10,10,10,,,,,35.013750400044955,,34.98742000001948,35.013750400044955,37.001393600017764,37.017927600070834,38.50814230006654,38.48634870001115,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Anger,0,11,11,11,,,,,38.50814230006654,,38.487435000017285,38.50814230006654,40.500892400043085,40.51743250002619,42.005707000033,41.98560000001453,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Gardern,0,12,12,12,,,,,42.005707000033,,41.98648530000355,42.005707000033,44.000271199969575,44.01700640004128,45.49975800001994,45.48412460007239,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Sea,0,13,13,13,,,,,45.49975800001994,,45.48459870007355,45.49975800001994,47.500158600043505,47.500158600043505,49.01233719999436,48.98460540000815,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
Project,0,14,14,14,,,,,49.01233719999436,,48.985519199981354,49.01233719999436,50.99958840000909,51.015976800001226,52.49940810003318,52.484276800067164,,,,,,,,,,,,,,,530301,001,2024-12-04_12h06.54.605,WordPrimacy,2024.1.5,None,2024-12-04 12h07.05.324664 +0530,
