word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004005399998277426,0.01017570006661117,0.01017570006661117,1.798658600077033,space,1.7777165999868885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
,,,,,,,,,,,,,,,,,,,,1.7986948000034317,1.810674500069581,1.810674500069581,2.8121760999783874,space,0.9939080000622198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
bottle,circle,n,0,0,0,0,,,,,2.8329145000316203,,,,,,,,,,,,,,,,2.8230574000626802,2.8329145000316203,4.825496800011024,4.842205599998124,6.325467600021511,6.309488099999726,6.309515699977055,6.325467600021511,6.325467600021511,6.82544260006398,6.82544260006398,6.9096713999751955,n,1,0.5779666999587789,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
chair,square,n,0,1,1,1,,,,,6.935335100046359,,,,,,,,,,,,,,,,6.910536700044759,6.935335100046359,8.924745400086977,8.941634600050747,10.425132700009272,10.4089986999752,10.409024700056762,10.425132700009272,10.425132700009272,10.924941300065257,10.924941300065257,12.20943150005769,n,1,1.77532420004718,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
book,square,n,0,2,2,2,,,,,12.224805300007574,,,,,,,,,,,,,,,,12.210072800051421,12.224805300007574,14.209020200069062,14.225529700051993,15.724769800086506,15.708716300083324,15.708735299995169,15.724769800086506,15.724769800086506,16.22462130000349,16.22462130000349,17.376400700071827,n,1,1.6482836999930441,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
lamp,triangle,n,0,3,3,3,,,,,17.391088100033812,,,,,,,,,,,,,,,,17.377047699992545,17.391088100033812,19.391665900009684,19.391665900009684,20.89080350007862,20.87488040002063,20.874898600042798,20.89080350007862,20.89080350007862,21.390687600011006,21.390687600011006,22.158197700046003,n,1,1.2535718000726774,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
clock,square,y,0,4,4,4,,,,,22.17365290003363,,,,,,,,,,,,,,,,22.158835800015368,22.17365290003363,24.173559900023974,24.173559900023974,25.673524799989536,25.657541200052947,25.65756139997393,25.673524799989536,25.673524799989536,26.173412800068036,26.173412800068036,27.124557000002824,y,1,1.441721300012432,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
pen,circle,n,0,5,5,5,,,,,27.139716700068675,,,,,,,,,,,,,,,,27.125275500002317,27.139716700068675,29.13959120004438,29.13959120004438,30.63968050002586,30.623553000041284,30.623572200071067,30.63968050002586,30.63968050002586,31.139314700034447,31.139314700034447,31.590641100076027,n,1,0.9344514000695199,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
phone,square,y,0,6,6,6,,,,,31.605922700022347,,,,,,,,,,,,,,,,31.591293700039387,31.605922700022347,33.60596309998073,33.60596309998073,35.105600300012156,35.09021300007589,35.09024260006845,35.105600300012156,35.105600300012156,35.60491180000827,35.60491180000827,36.622552899993025,y,1,1.502550799981691,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
pencil,triangle,n,0,7,7,7,,,,,36.6378776000347,,,,,,,,,,,,,,,,36.62327930005267,36.6378776000347,38.638085399987176,38.638085399987176,40.13761890004389,40.12165590003133,40.12167560006492,40.13761890004389,40.13761890004389,40.63730439997744,40.63730439997744,41.18917520006653,n,1,1.0478633999591693,None,,,,,,,,,,,,,,,001,001,2024-12-04_11h28.19.117,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h28.28.410031 +0530,
