word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,shapeStim.stopped,text_6.started,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.0038205001037567854,0.008931700023822486,0.008931700023822486,11.837415700079873,space,11.806965900002979,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
,,,,,,,,,,,,,,,,,,,,11.837473800056614,11.851450200076215,11.851450200076215,13.215392900048755,space,1.3472010999685153,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
bottle,circle,n,0,0,0,0,,,,,13.263462600065395,,,,,,,,,,,,,,,,13.248049900052138,13.263462600065395,15.227910300018266,15.277780400007032,16.72772880003322,16.71268840006087,16.712746800039895,16.72772880003322,16.72772880003322,17.172444900032133,n,1,0.40591630002018064,None,,,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
chair,square,n,0,1,1,1,,,,,17.19380990008358,,,,,,,,,,,,,,,,17.175555300083943,17.19380990008358,19.177409900003113,19.194115500082262,20.67734370008111,20.66250120010227,20.662567700026557,20.67734370008111,20.67734370008111,22.661841500084847,None,0,,,21.177146900095977,21.177146900095977,22.67933430010453,22.67933430010453,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
book,square,n,0,2,2,2,,,,,22.67933430010453,,,,,,,,,,,,,,,,22.663270500022918,22.67933430010453,24.6767225000076,24.693225000053644,26.176422200049274,26.161331800045446,26.161387800006196,26.176422200049274,26.176422200049274,28.16098900011275,None,0,,,26.676415599999018,26.676415599999018,28.18018840008881,28.18018840008881,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
lamp,triangle,n,0,3,3,3,,,,,28.18018840008881,,,,,,,,,,,,,,,,28.162382200011052,28.18018840008881,30.175960600026883,30.19255590008106,31.675980400061235,31.660844100057147,31.660909500089474,31.675980400061235,31.675980400061235,32.078410800080746,n,1,0.38979249994736165,None,,,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
clock,square,y,0,4,4,4,,,,,32.10523110011127,,,,,,,,,,,,,,,,32.08032190008089,32.10523110011127,34.09215360006783,34.10864660004154,35.592011200031266,35.57670810003765,35.576765100006014,35.592011200031266,35.592011200031266,35.6114399000071,n,0,0.015692100045271218,None,,,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
pen,circle,n,0,5,5,5,,,,,35.63557590008713,,,,,,,,,,,,,,,,35.61332330002915,35.63557590008713,37.625043900101446,37.641719400067814,39.12490070005879,39.10957730002701,39.10964260005858,39.12490070005879,39.12490070005879,40.09417270007543,n,1,0.9552785999840125,None,39.624699100037105,39.624699100037105,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
phone,square,y,0,6,6,6,,,,,40.11998890002724,,,,,,,,,,,,,,,,40.09608480008319,40.11998890002724,42.10779380006716,42.12438730010763,43.607898400048725,43.59301820001565,43.593086300068535,43.607898400048725,43.607898400048725,44.39356640004553,y,1,0.7757232000585645,None,44.10753890010528,44.10753890010528,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
pencil,triangle,n,0,7,7,7,,,,,44.420779400039464,,,,,,,,,,,,,,,,44.395496700075455,44.420779400039464,46.40732390002813,46.423795800074004,47.90719470009208,47.892068100045435,47.892153699998744,47.90719470009208,47.90719470009208,48.61094470007811,n,1,0.6908391000470147,None,48.40709800005425,48.40709800005425,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
laptop,circle,n,0,8,8,8,,,,,48.65666340000462,,,,,,,,,,,,,,,,48.61440330010373,48.65666340000462,50.62325210007839,50.65658870001789,52.12327360000927,52.10791000002064,52.10796809999738,52.12327360000927,52.12327360000927,52.759961000061594,n,1,0.6309730999637395,None,52.62319579999894,52.62319579999894,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
bag,triangle,y,0,9,9,9,,,,,52.79145120002795,,,,,,,,,,,,,,,,52.76218210009392,52.79145120002795,54.77310600003693,54.80608380003832,56.27258840005379,56.25729650002904,56.25735420000274,56.27258840005379,56.27258840005379,57.0751965000527,y,1,0.792392099974677,None,56.77262420009356,56.77262420009356,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
cover,circle,y,0,10,10,10,,,,,57.102402300108224,,,,,,,,,,,,,,,,57.077186900074594,57.102402300108224,59.0885742000537,59.105047800112516,60.5884676000569,60.57343760004733,60.57350500009488,60.5884676000569,60.5884676000569,61.241781100048684,y,1,0.6500659000594169,None,61.08799640007783,61.08799640007783,,,,,,,,,,,,,,,,,002,001,2024-12-04_11h32.55.039,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h33.07.702610 +0530,
