word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,text_6.stopped,NbackResponse.stopped,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004023200017400086,0.010571800055913627,0.010571800055913627,3.3279685999732465,space,3.2904477000702173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,,,,,,,,,,,,,,3.3280694000422955,3.3405726000200957,3.3405726000200957,5.9037104999879375,space,2.5591177999740466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
bottle,circle,n,0,0,0,0,,,,,5.963049900019541,,,,,,,,,,,,,,,,5.94030360004399,5.963049900019541,7.914222200051881,7.964122600038536,9.414035400026478,9.399119399953634,9.399185699992813,9.414035400026478,9.414035400026478,9.913782299961895,9.913782299961895,10.749966399976984,n,1,1.3218089999863878,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
chair,square,n,0,1,1,1,,,,,10.772397099994123,,,,,,,,,,,,,,,,10.75468999997247,10.772397099994123,12.764032799983397,12.780452999984846,14.264022000017576,14.249046399956569,14.249110999982804,14.264022000017576,14.264022000017576,14.763870700029656,14.763870700029656,15.216097000055015,n,1,0.9345724999438971,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
book,square,n,0,2,2,2,,,,,15.23432279995177,,,,,,,,,,,,,,,,15.218008800060488,15.23432279995177,17.23007010004949,17.24674179998692,18.730072299949825,18.714653400005773,18.714713099994697,18.730072299949825,18.730072299949825,19.229813499958254,19.229813499958254,19.615593899972737,n,1,0.8755118999397382,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
lamp,triangle,n,0,3,3,3,,,,,19.639451600029133,,,,,,,,,,,,,,,,19.617383799981326,19.639451600029133,21.62977540004067,21.646335200057365,23.12944090005476,23.11431650002487,23.11437530000694,23.12944090005476,23.12944090005476,,,23.382635200046934,n,1,0.23983690002933145,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
clock,square,y,0,4,4,4,,,,,23.40843169996515,,,,,,,,,,,,,,,,23.385238599963486,23.40843169996515,25.395804599975236,25.4124654000625,26.895821499987505,26.88095180003438,26.881017499952577,26.895821499987505,26.895821499987505,27.395517500001006,27.395517500001006,27.714754599961452,y,1,0.8104260999243706,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
pen,circle,n,0,5,5,5,,,,,27.741896499996074,,,,,,,,,,,,,,,,27.71732549997978,27.741896499996074,29.728583300020546,29.7450295999879,31.23047199996654,31.21350229997188,31.213598900008947,31.23047199996654,31.23047199996654,31.745003400021233,31.72861750004813,33.22837000002619,None,0,,,33.22798570001032,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
phone,square,y,0,6,6,6,,,,,33.24876810004935,,,,,,,,,,,,,,,,33.230050900019705,33.24876810004935,35.22788589994889,35.261513000004925,36.727662899997085,36.71237329998985,36.712433899985626,36.727662899997085,36.727662899997085,,,37.19707540003583,n,0,0.45362530008424073,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
pencil,triangle,n,0,7,7,7,,,,,37.21760560001712,,,,,,,,,,,,,,,,37.198898599948734,37.21760560001712,39.210500200046226,39.227317800046876,40.71044229995459,40.69559300004039,40.6956583999563,40.71044229995459,40.71044229995459,41.21044739999343,41.21044739999343,41.34664530004375,n,1,0.6309004999930039,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
laptop,circle,n,0,8,8,8,,,,,41.37293559999671,,,,,,,,,,,,,,,,41.34854140004609,41.37293559999671,43.36016569996718,43.3767067999579,44.86282559996471,44.84522380004637,44.845283000031486,44.86282559996471,44.86282559996471,45.376114599988796,45.35946389997844,45.87877640000079,n,1,1.0050788999069482,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
bag,triangle,y,0,9,9,9,,,,,45.90268399997149,,,,,,,,,,,,,,,,45.8804678999586,45.90268399997149,47.89304210001137,47.90966040000785,49.39562039996963,49.3778297000099,49.37791649997234,49.39562039996963,49.39562039996963,49.90925290004816,49.89272100001108,51.392860700027086,None,0,,,51.39245529996697,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
cover,circle,y,0,10,10,10,,,,,51.413240600028075,,,,,,,,,,,,,,,,51.3944261999568,51.413240600028075,53.39208420005161,53.42536740005016,54.89215129998047,54.87714280001819,54.87720360001549,54.89215129998047,54.89215129998047,55.39185540005565,55.39185540005565,56.876430300064385,None,0,,,56.89579500001855,56.89579500001855,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
plant,square,n,0,11,11,11,,,,,56.89579500001855,,,,,,,,,,,,,,,,56.87784610001836,56.89579500001855,58.89128129999153,58.907993000000715,60.39122730004601,60.376146299997345,60.376209900015965,60.39122730004601,60.39122730004601,,,60.84397549997084,n,1,0.446813500020653,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
key,square,n,0,12,12,12,,,,,60.868878399953246,,,,,,,,,,,,,,,,60.84575440001208,60.868878399953246,62.85781620000489,62.87437229999341,64.35738559998572,64.3420727000339,64.34212990000378,64.35738559998572,64.35738559998572,64.85720780002885,64.85720780002885,66.34191730001476,None,0,,,66.36040220002178,66.36040220002178,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
window,square,y,0,13,13,13,,,,,66.36040220002178,,,,,,,,,,,,,,,,66.34334280004259,66.36040220002178,68.35701939999126,68.37368580000475,69.85666289995424,69.84142159996554,69.84147830004804,69.85666289995424,69.85666289995424,,,70.2444642999908,y,1,0.38311169994995,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
notebook,triangle,n,0,14,14,14,,,,,70.26137429999653,,,,,,,,,,,,,,,,70.24565369996708,70.26137429999653,72.25641290005296,72.27284130000044,73.75617469998542,73.74106629996095,73.74112400005106,73.75617469998542,73.75617469998542,74.25611009995919,74.25611009995919,74.2592262000544,n,1,0.4988399000139907,None,,,,,,,,,,,,,,,,,004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,0,0,0,0,74.31767580006272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.26302439998835,74.31767580006272,74.31767580006272,74.31767580006272,0.004396200063638389,87.03365889994893,window,[-0.0962962962962963],[-0.3055555555555556],[1],[0],[0],[12.767632000031881],['text_4'],004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,1,0,1,0,87.05225820001215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0363543999847,87.05225820001215,87.05225820001215,87.05225820001215,0.0012858000118285418,91.66181439999491,bottle,[-0.1111111111111111],[-0.30277777777777776],[1],[0],[0],[4.622931100078858],['text_4'],004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,2,0,2,0,91.70141630002763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.66520899999887,91.70141630002763,91.70141630002763,91.70141630002763,0.002590899937786162,97.10508570005186,lamp,[-0.0712962962962963],[-0.2935185185185185],[1],[0],[0],[5.436102000065148],['text_4'],004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,3,0,3,0,97.14871189999394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.10869060002733,97.14871189999394,97.14871189999394,97.14871189999394,0.0029398000333458185,109.20475769997574,notebook,[-0.0712962962962963],[-0.2935185185185185],[1],[0],[0],[12.091738200047985],['text_4'],004,001,2024-12-04_11h38.22.524,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h38.36.341390 +0530,
,,,,,,,,,,,109.24106300005224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.20848789997399,109.24106300005224,109.24106300005224,109.24106300005224,0.002621800056658685,,,,,,,,,,,,,,,,,
