word_list,shape,corr_ans,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,text_3.started,key_resp.started,Instruction.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Instruction2.started,text_5.started,key_resp_2.started,Instruction2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,wordpresentation.started,WordDisplay.started,text_2.started,WordDisplay.stopped,text_2.stopped,wordpresentation.stopped,ShapeNback.started,shapeStim.started,NbackResponse.started,shapeStim.stopped,text_6.started,text_6.stopped,NbackResponse.stopped,ShapeNback.stopped,NbackResponse.keys,NbackResponse.corr,NbackResponse.rt,NbackResponse.duration,RecallPhase.started,text.started,textbox.started,text_4.started,mouse.started,RecallPhase.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,0.004976899945177138,0.010844999924302101,0.010844999924302101,0.4926194000290707,space,0.46292770002037287,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
,,,,,,,,,,,,,,,,,,,,0.492733099963516,0.5081213000230491,0.5081213000230491,0.8345667999237776,space,0.3183572000125423,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
bottle,circle,n,0,0,0,0,,,,,0.8848265999695286,,,,,,,,,,,,,,,,0.864116600016132,0.8848265999695286,2.84655259991996,2.896435000002384,4.346347499988042,4.331035199924372,4.331094000022858,4.346347499988042,4.346347499988042,4.8462874999968335,4.8462874999968335,6.350836099940352,6.350836099940352,6.331110400031321,None,0,,,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
chair,square,n,0,1,1,1,,,,,6.350836099940352,,,,,,,,,,,,,,,,6.332993899937719,6.350836099940352,8.346816099947318,8.36329939996358,9.84636850003153,9.831020399928093,9.831076100002974,9.84636850003153,9.84636850003153,10.346090400009416,10.346090400009416,,,11.452572599984705,n,1,1.5518971999408677,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
book,square,n,0,2,2,2,,,,,11.471064199926332,,,,,,,,,,,,,,,,11.454857599921525,11.471064199926332,13.462576500023715,13.479128899984062,14.962464199983515,14.947245899937116,14.947302300017327,14.962464199983515,14.962464199983515,15.462329400004819,15.462329400004819,,,16.33151910000015,n,1,1.3617255000863224,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
lamp,triangle,n,0,3,3,3,,,,,16.355515699950047,,,,,,,,,,,,,,,,16.33339129993692,16.355515699950047,18.345286699943244,18.361934599932283,19.84527349995915,19.830271099926904,19.83035139995627,19.84527349995915,19.84527349995915,20.345211599953473,20.345211599953473,,,21.54775679996237,n,1,1.6976409000344574,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
clock,square,y,0,4,4,4,,,,,21.57407289999537,,,,,,,,,,,,,,,,21.54970149998553,21.57407289999537,23.561345499940217,23.57801479997579,25.060976199922152,25.045977799920365,25.046050300006755,25.060976199922152,25.060976199922152,25.560651000007056,25.560651000007056,,,25.64594760001637,n,0,0.5807081999955699,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
pen,circle,n,0,5,5,5,,,,,25.665508199948817,,,,,,,,,,,,,,,,25.647320799995214,25.665508199948817,27.660856100032106,27.677425600006245,29.16038200003095,29.145346599980257,29.14541889994871,29.16038200003095,29.16038200003095,29.660549900028855,29.660549900028855,,,30.114700899925083,n,1,0.9347382000414655,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
phone,square,y,0,6,6,6,,,,,30.13442859996576,,,,,,,,,,,,,,,,30.11680720001459,30.13442859996576,32.12689740001224,32.143363300012425,33.626634099986404,33.61131820001174,33.61138120002579,33.626634099986404,33.626634099986404,34.12654839991592,34.12654839991592,,,34.44602329994086,y,1,0.8112383999396116,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
pencil,triangle,n,0,7,7,7,,,,,34.47216499992646,,,,,,,,,,,,,,,,34.44796809996478,34.47216499992646,36.45967699994799,36.47614839999005,37.95902539999224,37.94473019998986,37.94481060001999,37.95902539999224,37.95902539999224,,,,,38.41195759992115,n,1,0.4407058999640867,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
laptop,circle,n,0,8,8,8,,,,,38.43778309994377,,,,,,,,,,,,,,,,38.41408729995601,38.43778309994377,40.42594599991571,40.442496499978006,41.92549399996642,41.91021250002086,41.910271400003694,41.92549399996642,41.92549399996642,42.425375499995425,42.425375499995425,,,43.777980700018816,y,0,1.844004200072959,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
bag,triangle,y,0,9,9,9,,,,,43.80470889993012,,,,,,,,,,,,,,,,43.77994389995001,43.80470889993012,45.79175759991631,45.80838840000797,47.29142929997761,47.276473899954,47.27652890002355,47.29142929997761,47.29142929997761,47.791318799951114,47.791318799951114,,,47.810890099965036,n,0,0.50715089996811,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
cover,circle,y,0,10,10,10,,,,,47.838647899916396,,,,,,,,,,,,,,,,47.813056299928576,47.838647899916396,49.82451309997123,49.84119089995511,51.32433299999684,51.309073199983686,51.3091305999551,51.32433299999684,51.32433299999684,51.824221099959686,51.824221099959686,,,51.86007029993925,n,0,0.5202605000231415,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
plant,square,n,0,11,11,11,,,,,51.878485599998385,,,,,,,,,,,,,,,,51.86192019993905,51.878485599998385,53.87390429992229,53.8905439999653,55.37394530000165,55.3585084999213,55.35857439995743,55.37394530000165,55.37394530000165,55.87364479992539,55.87364479992539,,,55.942863399977796,n,1,0.5631280000088736,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
key,square,n,0,12,12,12,,,,,55.968967900029384,,,,,,,,,,,,,,,,55.944693799945526,55.968967900029384,57.95683399995323,57.97337909997441,59.45666819997132,59.4412284999853,59.44128709996585,59.45666819997132,59.45666819997132,59.9563965999987,59.9563965999987,,,60.52673279994633,y,0,1.0638855000725016,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
window,square,y,0,13,13,13,,,,,60.55530719994567,,,,,,,,,,,,,,,,60.529248200007714,60.55530719994567,62.53982379997615,62.55632740003057,64.03923210001085,64.02429580001626,64.02440440002829,64.03923210001085,64.03923210001085,64.53913449996617,64.53913449996617,,,65.37338360003196,y,1,1.3195439000846818,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
notebook,triangle,n,0,14,14,14,,,,,65.38890559994616,,,,,,,,,,,,,,,,65.37434530002065,65.38890559994616,67.38882799993735,67.38882799993735,68.88881069992203,68.87373400002252,68.87379829993006,68.88881069992203,68.88881069992203,,,,,68.95860549993813,y,0,0.062423700001090765,None,,,,,,,,,,,,,,,006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
,,,,,,,0,0,0,0,69.00006639992353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.96295109996572,69.00006639992353,69.00006639992353,69.00006639992353,0.005174300051294267,76.03074700001162,Book,[0.09537037037037037],[-0.31296296296296294],[1],[0],[0],[7.063570199999958],['text_4'],006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
,,,,,,,1,0,1,0,76.0700125999283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.03621489997022,76.0700125999283,76.0700125999283,76.0700125999283,0.003620099974796176,79.34995289996732,key,[0.09537037037037037],[-0.31296296296296294],[1],[0],[0],[3.310189799987711],['text_4'],006,001,2024-12-04_11h43.03.458,WordPrimacy_n-back,2024.1.5,None,2024-12-04 11h43.23.407254 +0530,
